item1,item2,value1,value2,value3,value4,value5,value6,value7
102年 12月,雲林縣,80.14,0.0,73.3,4.4,0.47,17.35,50.05
102年 12月,嘉義縣,75.88,0.0,90.2,4.2,0.43,15.2,54.7
102年 12月,屏東縣,118.37,0.0,72.8,3.37,0.48,12.47,65.3
102年 12月,臺東縣,47.0,0.0,29.8,1.8,0.43,7.1,45.8
102年 12月,花蓮縣,40.16,0.0,31.3,2.5,0.54,14.9,41.6
102年 12月,澎湖縣,109.98,0.0,57.3,2.5,0.32,4.5,53.9
102年 12月,基隆市,42.77,0.0,36.3,2.6,0.47,13.1,48.7
102年 12月,新竹市,67.48,0.0,51.9,4.6,0.47,18.4,46.0
102年 12月,嘉義市,82.81,0.0,87.8,4.8,0.63,23.7,51.2
102年 12月,金門縣,0.0,0.0,111.5,8.8,0.51,15.6,57.1
102年 12月,連江縣,0.0,0.0,91.1,6.7,0.46,9.7,61.7
103年,新北市,55.24,0.0,43.1,3.39,0.46,16.59,55.59
103年,臺北市,39.83,0.0,45.3,2.98,0.57,21.75,52.51
103年,桃園市,59.14,0.0,51.1,4.24,0.41,16.86,55.45
103年,臺中市,57.92,0.0,52.1,3.12,0.43,15.6,59.55
103年,臺南市,71.65,0.0,67.0,3.59,0.39,13.76,63.13
103年,高雄市,76.79,0.0,64.1,5.01,0.43,16.79,66.44
103年,宜蘭縣,41.77,0.0,39.2,2.17,0.31,8.97,47.08
103年,新竹縣,55.88,0.0,42.9,2.89,0.33,11.62,57.56
103年,苗栗縣,49.65,0.0,43.2,2.73,0.34,11.91,56.64
103年,彰化縣,53.55,0.0,55.6,3.77,0.38,12.7,56.37
103年,南投縣,57.49,0.0,61.8,2.59,0.41,14.22,68.11
103年,雲林縣,63.49,0.0,61.4,3.34,0.37,12.25,60.04
103年,嘉義縣,53.52,0.0,71.7,3.18,0.34,10.88,60.22
103年,屏東縣,84.13,0.0,51.8,2.6,0.32,8.62,66.09
103年,臺東縣,29.7,0.0,26.9,1.34,0.34,5.05,40.98
103年,花蓮縣,47.39,0.0,30.5,1.78,0.37,9.32,41.77
103年,澎湖縣,59.68,0.0,37.5,2.06,0.24,3.89,51.62
103年,基隆市,46.07,0.0,30.3,2.55,0.4,12.11,53.82
103年,新竹市,66.37,0.0,43.5,2.68,0.43,15.91,53.93
103年,嘉義市,67.9,0.0,65.1,3.42,0.45,14.71,62.1
103年,金門縣,58.95,0.0,68.8,5.25,0.35,11.12,59.66
103年,連江縣,0.0,0.0,51.5,3.3,0.3,6.2,60.97
103年 1月,新北市,84.77,0.0,57.5,4.19,0.53,19.81,50.58
103年 1月,臺北市,37.16,0.0,61.7,3.59,0.62,25.59,45.14
103年 1月,桃園市,82.16,0.0,70.3,5.8,0.5,20.84,51.74
103年 1月,臺中市,87.98,0.0,71.9,3.65,0.58,20.72,57.8
103年 1月,臺南市,138.76,0.0,109.2,4.5,0.54,20.78,71.75
103年 1月,高雄市,157.58,0.0,99.6,6.05,0.61,25.3,81.02
103年 1月,宜蘭縣,44.76,0.0,49.8,2.82,0.35,10.92,51.42
103年 1月,新竹縣,114.15,0.0,59.6,4.13,0.43,14.86,55.36
103年 1月,苗栗縣,70.17,0.0,62.0,3.67,0.44,15.34,53.59
103年 1月,彰化縣,68.46,0.0,80.8,4.64,0.53,18.09,56.75
103年 1月,南投縣,89.7,0.0,85.0,3.08,0.55,19.56,71.33
103年 1月,雲林縣,115.08,0.0,96.6,4.27,0.49,17.66,61.88
103年 1月,嘉義縣,106.2,0.0,111.2,4.06,0.44,15.51,66.99
103年 1月,屏東縣,131.73,0.0,77.5,3.32,0.43,10.93,76.04
103年 1月,臺東縣,220.0,0.0,42.4,1.71,0.38,6.59,49.91
103年 1月,花蓮縣,90.38,0.0,40.5,2.25,0.43,11.99,47.4
103年 1月,澎湖縣,79.97,0.0,60.5,2.47,0.29,5.07,56.83
103年 1月,基隆市,55.48,0.0,40.8,2.94,0.49,14.96,50.61
103年 1月,新竹市,170.73,0.0,65.3,4.34,0.55,21.09,52.18
103年 1月,嘉義市,130.58,0.0,99.6,4.45,0.62,23.01,64.09
103年 1月,金門縣,136.33,0.0,114.6,7.36,0.49,17.39,56.7
103年 1月,連江縣,0.0,0.0,79.3,5.36,0.43,9.34,55.5
103年 2月,新北市,65.96,0.0,37.6,2.85,0.52,17.82,44.2
103年 2月,臺北市,31.14,0.0,41.4,2.58,0.66,24.63,40.01
103年 2月,桃園市,75.4,0.0,48.3,3.6,0.47,19.05,46.24
103年 2月,臺中市,55.44,0.0,50.2,2.48,0.47,16.98,50.19
103年 2月,臺南市,83.8,0.0,74.7,3.4,0.45,16.71,60.13
103年 2月,高雄市,78.41,0.0,68.3,4.9,0.51,20.69,62.98
103年 2月,宜蘭縣,31.56,0.0,27.8,1.72,0.34,9.47,44.18
103年 2月,新竹縣,58.01,0.0,39.3,2.66,0.39,13.46,49.13
103年 2月,苗栗縣,67.47,0.0,40.2,2.27,0.4,13.81,46.37
103年 2月,彰化縣,40.7,0.0,59.5,3.47,0.45,14.47,48.61
103年 2月,南投縣,70.3,0.0,63.5,2.48,0.49,17.86,57.14
103年 2月,雲林縣,82.46,0.0,61.6,3.19,0.42,14.55,51.2
103年 2月,嘉義縣,67.41,0.0,74.9,3.11,0.39,12.17,57.46
103年 2月,屏東縣,77.7,0.0,56.3,2.67,0.38,10.61,65.03
103年 2月,臺東縣,15.0,0.0,19.0,1.35,0.39,6.14,41.09
103年 2月,花蓮縣,24.17,0.0,21.7,1.6,0.44,11.55,38.25
103年 2月,澎湖縣,55.32,0.0,38.5,1.29,0.29,4.19,49.96
103年 2月,基隆市,30.39,0.0,23.5,2.35,0.43,13.94,46.22
103年 2月,新竹市,36.08,0.0,44.6,3.36,0.49,18.71,47.54
103年 2月,嘉義市,64.51,0.0,71.6,3.36,0.51,18.02,52.05
103年 2月,金門縣,41.84,0.0,58.0,3.43,0.41,10.23,44.86
103年 2月,連江縣,0.0,0.0,39.8,2.58,0.33,5.3,49.37
103年 3月,新北市,62.88,0.0,52.4,3.61,0.54,19.72,56.23
103年 3月,臺北市,23.18,0.0,56.5,3.05,0.66,26.33,52.13
103年 3月,桃園市,84.96,0.0,65.1,4.81,0.51,20.21,55.66
103年 3月,臺中市,65.52,0.0,72.0,3.68,0.55,20.27,56.61
103年 3月,臺南市,89.51,0.0,90.4,3.95,0.48,16.68,65.88
103年 3月,高雄市,100.26,0.0,82.2,5.74,0.51,20.06,69.8
103年 3月,宜蘭縣,65.38,0.0,43.7,1.9,0.37,10.75,50.45
103年 3月,新竹縣,99.23,0.0,52.8,2.85,0.42,15.04,58.48
103年 3月,苗栗縣,91.68,0.0,57.1,2.67,0.44,15.35,54.88
103年 3月,彰化縣,66.91,0.0,77.5,4.2,0.47,15.39,59.26
103年 3月,南投縣,71.73,0.0,83.0,2.87,0.51,18.73,61.34
103年 3月,雲林縣,86.54,0.0,78.7,3.7,0.45,14.9,58.28
103年 3月,嘉義縣,75.57,0.0,95.0,3.49,0.42,12.81,63.68
103年 3月,屏東縣,150.26,0.0,68.5,2.97,0.39,10.65,69.43
103年 3月,臺東縣,93.0,0.0,31.4,1.52,0.41,5.96,48.17
103年 3月,花蓮縣,54.47,0.0,38.2,1.61,0.47,11.74,45.13
103年 3月,澎湖縣,81.24,0.0,50.4,2.01,0.32,5.28,61.32
103年 3月,基隆市,40.6,0.0,35.5,2.86,0.44,14.15,59.54
103年 3月,新竹市,88.31,0.0,57.6,3.3,0.54,19.74,57.54
103年 3月,嘉義市,79.19,0.0,86.4,3.74,0.53,17.37,58.61
103年 3月,金門縣,61.92,0.0,78.6,5.11,0.43,13.95,54.78
103年 3月,連江縣,0.0,0.0,66.2,3.9,0.39,8.68,64.61
103年 4月,新北市,57.04,0.0,48.5,3.39,0.5,17.62,63.91
103年 4月,臺北市,51.92,0.0,50.9,2.85,0.61,23.08,61.92
103年 4月,桃園市,61.14,0.0,58.6,4.64,0.47,18.8,62.02
103年 4月,臺中市,69.16,0.0,63.5,3.54,0.47,17.52,68.82
103年 4月,臺南市,99.92,0.0,82.7,4.17,0.45,14.29,73.44
103年 4月,高雄市,88.71,0.0,71.7,5.25,0.46,16.33,78.39
103年 4月,宜蘭縣,40.26,0.0,42.0,2.11,0.38,10.14,55.66
103年 4月,新竹縣,63.92,0.0,47.7,2.94,0.39,13.21,64.53
103年 4月,苗栗縣,52.24,0.0,54.2,2.71,0.41,13.74,64.02
103年 4月,彰化縣,65.65,0.0,66.5,4.57,0.45,14.86,67.18
103年 4月,南投縣,69.95,0.0,77.8,3.17,0.48,16.98,77.25
103年 4月,雲林縣,93.36,0.0,69.5,4.01,0.43,13.4,68.84
103年 4月,嘉義縣,72.24,0.0,82.5,3.56,0.42,11.36,70.36
103年 4月,屏東縣,105.33,0.0,56.4,2.8,0.35,8.22,74.78
103年 4月,臺東縣,22.0,0.0,26.6,1.36,0.4,5.63,51.91
103年 4月,花蓮縣,43.16,0.0,34.0,1.59,0.47,11.85,50.53
103年 4月,澎湖縣,53.44,0.0,41.9,1.7,0.29,3.85,63.2
103年 4月,基隆市,60.29,0.0,32.9,2.37,0.42,12.38,62.52
103年 4月,新竹市,78.04,0.0,50.4,3.43,0.48,17.73,62.78
103年 4月,嘉義市,107.06,0.0,75.8,4.2,0.52,15.57,69.0
103年 4月,金門縣,67.31,0.0,75.2,5.88,0.42,12.56,63.96
103年 4月,連江縣,0.0,0.0,49.3,2.88,0.34,7.4,67.6
103年 5月,新北市,44.52,0.0,38.2,3.5,0.57,19.73,57.98
103年 5月,臺北市,41.66,0.0,39.4,2.68,0.71,24.85,56.24
103年 5月,桃園市,53.59,0.0,46.9,4.78,0.48,18.8,54.83
103年 5月,臺中市,48.27,0.0,35.9,2.82,0.42,15.03,49.57
103年 5月,臺南市,53.72,0.0,47.6,3.43,0.36,12.43,49.35
103年 5月,高雄市,59.32,0.0,43.3,4.87,0.36,14.28,53.21
103年 5月,宜蘭縣,41.58,0.0,35.9,2.3,0.37,10.23,53.51
103年 5月,新竹縣,47.48,0.0,38.1,2.76,0.35,11.61,56.3
103年 5月,苗栗縣,50.12,0.0,33.3,2.42,0.32,10.81,52.83
103年 5月,彰化縣,44.47,0.0,41.2,3.21,0.35,10.99,49.1
103年 5月,南投縣,33.99,0.0,38.9,2.01,0.34,11.41,52.22
103年 5月,雲林縣,48.11,0.0,40.0,2.57,0.32,10.32,48.13
103年 5月,嘉義縣,34.02,0.0,49.7,2.57,0.32,9.68,48.94
103年 5月,屏東縣,62.16,0.0,38.2,2.46,0.27,7.82,62.02
103年 5月,臺東縣,27.71,0.0,23.6,1.33,0.37,5.35,45.29
103年 5月,花蓮縣,37.92,0.0,27.8,1.69,0.46,11.61,44.97
103年 5月,澎湖縣,74.3,0.0,28.7,3.2,0.27,5.68,52.59
103年 5月,基隆市,50.63,0.0,28.3,2.78,0.47,14.72,56.74
103年 5月,新竹市,68.01,0.0,37.4,3.03,0.49,16.52,53.84
103年 5月,嘉義市,39.99,0.0,40.6,2.76,0.38,11.25,46.34
103年 5月,金門縣,86.43,0.0,70.1,5.33,0.42,12.56,59.66
103年 5月,連江縣,0.0,0.0,53.5,2.95,0.36,7.68,73.49
103年 6月,新北市,42.26,0.0,34.1,3.36,0.44,16.34,53.16
103年 6月,臺北市,43.05,0.0,39.6,3.04,0.59,21.83,51.05
103年 6月,桃園市,42.37,0.0,43.2,3.99,0.34,14.59,48.95
103年 6月,臺中市,37.98,0.0,36.2,2.84,0.32,11.12,52.63
103年 6月,臺南市,44.08,0.0,38.5,3.16,0.27,9.11,46.19
103年 6月,新竹縣,34.26,0.0,29.4,2.41,0.23,8.46,48.42
103年 6月,苗栗縣,45.48,0.0,29.1,2.48,0.24,9.02,50.31
103年 6月,彰化縣,39.67,0.0,34.2,2.94,0.25,7.6,47.15
103年 6月,南投縣,31.68,0.0,35.6,2.03,0.26,8.27,57.53
103年 6月,雲林縣,42.41,0.0,39.1,2.72,0.23,7.65,49.83
103年 6月,嘉義縣,29.77,0.0,44.0,2.45,0.23,7.54,44.82
103年 6月,屏東縣,67.06,0.0,32.2,2.08,0.2,5.7,47.51
103年 6月,臺東縣,22.98,0.0,22.2,1.32,0.32,4.45,36.0
103年 6月,花蓮縣,36.65,0.0,28.8,1.81,0.35,8.27,35.82
103年 6月,澎湖縣,42.5,0.0,20.7,1.98,0.2,4.43,37.78
103年 6月,基隆市,54.24,0.0,26.9,2.93,0.34,11.73,53.05
103年 6月,新竹市,53.5,0.0,26.4,1.71,0.34,11.92,43.15
103年 6月,嘉義市,44.32,0.0,33.4,2.65,0.27,7.96,50.91
103年 6月,金門縣,37.5,0.0,42.3,3.52,0.21,7.01,55.94
103年 6月,連江縣,0.0,0.0,35.3,2.56,0.2,4.53,58.06
103年 7月,新北市,32.96,0.0,30.2,3.47,0.32,12.39,56.82
103年 7月,臺北市,37.43,0.0,33.5,2.69,0.44,15.53,53.47
103年 7月,桃園市,37.45,0.0,38.6,4.42,0.3,13.11,59.37
103年 7月,臺中市,73.94,0.0,37.0,3.19,0.27,10.09,60.94
103年 7月,臺南市,40.93,0.0,34.9,2.89,0.22,7.56,51.22
103年 7月,高雄市,39.85,0.0,36.3,3.95,0.24,9.77,51.95
103年 7月,宜蘭縣,45.2,0.0,31.5,2.18,0.21,6.38,36.77
103年 7月,新竹縣,45.32,0.0,28.0,2.9,0.21,8.27,56.9
103年 7月,苗栗縣,30.23,0.0,32.9,2.73,0.23,8.65,57.09
103年 7月,彰化縣,63.89,0.0,39.2,3.57,0.22,7.63,53.03
103年 7月,南投縣,47.76,0.0,39.7,2.43,0.24,7.65,67.37
103年 7月,雲林縣,41.11,0.0,39.7,2.83,0.21,6.88,55.09
103年 7月,嘉義縣,24.53,0.0,41.7,2.75,0.2,6.99,51.31
103年 7月,屏東縣,82.24,0.0,32.7,2.23,0.19,5.76,55.77
103年 7月,臺東縣,20.98,0.0,21.9,1.21,0.24,3.33,28.15
103年 7月,花蓮縣,37.15,0.0,25.7,1.75,0.27,6.07,25.78
103年 7月,澎湖縣,46.48,0.0,19.2,2.29,0.15,3.88,39.05
103年 7月,基隆市,55.01,0.0,22.6,2.67,0.26,8.77,49.08
103年 7月,新竹市,52.59,0.0,26.2,2.18,0.31,11.02,49.53
103年 7月,嘉義市,39.69,0.0,37.3,2.82,0.24,7.82,58.82
103年 7月,金門縣,30.99,0.0,39.0,4.29,0.16,7.72,54.0
103年 7月,連江縣,0.0,0.0,33.5,2.25,0.13,3.86,42.75
103年 8月,新北市,48.11,0.0,35.7,3.94,0.38,15.56,70.34
103年 8月,臺北市,42.6,0.0,38.9,3.22,0.51,19.62,69.17
103年 8月,桃園市,42.96,0.0,39.2,4.18,0.31,13.98,64.75
103年 8月,臺中市,31.85,0.0,31.5,3.06,0.28,10.12,56.23
103年 8月,臺南市,35.84,0.0,28.8,2.88,0.24,7.73,47.19
103年 8月,高雄市,35.99,0.0,28.9,4.07,0.26,10.0,47.85
103年 8月,宜蘭縣,48.99,0.0,36.0,2.29,0.24,7.43,42.54
103年 8月,新竹縣,33.47,0.0,28.1,2.81,0.22,8.61,60.31
103年 8月,苗栗縣,25.86,0.0,26.5,2.28,0.22,7.84,56.31
103年 8月,彰化縣,32.5,0.0,29.8,2.81,0.19,6.36,48.21
103年 8月,南投縣,26.23,0.0,32.1,2.14,0.22,6.78,61.76
103年 8月,雲林縣,33.97,0.0,28.5,2.31,0.2,6.37,52.58
103年 8月,嘉義縣,28.36,0.0,33.3,2.53,0.21,6.94,47.18
103年 8月,屏東縣,50.89,0.0,26.3,2.28,0.19,5.44,46.9
103年 8月,臺東縣,19.97,0.0,17.7,1.26,0.26,3.87,27.9
103年 8月,花蓮縣,49.88,0.0,23.2,1.81,0.21,4.96,29.91
103年 8月,澎湖縣,54.39,0.0,17.3,3.11,0.16,4.14,38.81
103年 8月,基隆市,46.56,0.0,24.3,2.98,0.32,11.54,57.55
103年 8月,新竹市,57.01,0.0,26.4,2.55,0.33,11.58,53.29
103年 8月,嘉義市,34.13,0.0,29.2,2.46,0.23,7.23,55.8
103年 8月,金門縣,19.23,0.0,41.4,4.68,0.18,8.81,63.88
103年 8月,連江縣,0.0,0.0,40.2,2.99,0.2,4.89,63.35
103年 9月,新北市,51.47,0.0,34.3,3.72,0.36,13.97,58.94
103年 9月,臺北市,41.08,0.0,36.5,3.62,0.45,17.58,56.18
103年 9月,桃園市,52.21,0.0,39.7,3.89,0.33,14.5,60.35
103年 9月,臺中市,60.59,0.0,46.5,3.57,0.36,13.07,70.28
103年 9月,臺南市,33.17,0.0,42.9,3.14,0.29,8.78,68.06
103年 9月,高雄市,59.79,0.0,41.9,4.34,0.31,11.15,66.29
103年 9月,宜蘭縣,34.43,0.0,33.4,2.09,0.24,7.19,41.15
103年 9月,新竹縣,45.21,0.0,39.0,3.04,0.28,10.93,66.67
103年 9月,苗栗縣,37.7,0.0,37.7,2.81,0.29,10.63,67.52
103年 9月,彰化縣,44.42,0.0,46.2,4.07,0.3,9.73,61.63
103年 9月,南投縣,55.44,0.0,48.4,2.52,0.31,9.38,79.3
103年 9月,雲林縣,30.44,0.0,43.8,3.23,0.28,8.38,68.82
103年 9月,嘉義縣,30.84,0.0,51.3,3.02,0.26,8.84,65.1
103年 9月,屏東縣,47.49,0.0,36.4,2.23,0.24,6.09,64.99
103年 9月,臺東縣,26.0,0.0,19.3,1.19,0.27,3.48,30.33
103年 9月,花蓮縣,37.54,0.0,24.0,1.7,0.23,5.53,35.36
103年 9月,澎湖縣,46.48,0.0,21.5,1.57,0.16,2.13,46.73
103年 9月,基隆市,31.16,0.0,22.8,2.24,0.3,9.4,53.36
103年 9月,新竹市,48.87,0.0,32.3,2.12,0.37,13.86,62.11
103年 9月,嘉義市,32.39,0.0,44.0,2.98,0.33,9.92,69.16
103年 9月,金門縣,38.49,0.0,44.1,4.28,0.24,7.48,62.94
103年 9月,連江縣,0.0,0.0,42.3,2.6,0.22,4.2,69.57
103年 10月,新北市,47.0,0.0,51.4,2.62,0.39,13.65,59.18
103年 10月,臺北市,50.44,0.0,48.4,2.53,0.46,18.56,55.79
103年 10月,桃園市,52.49,0.0,52.8,3.39,0.38,14.91,63.87
103年 10月,臺中市,54.23,0.0,61.0,2.91,0.42,15.82,79.1
103年 10月,臺南市,116.46,0.0,83.9,3.88,0.41,14.61,92.7
103年 10月,高雄市,118.94,0.0,79.6,5.26,0.47,16.55,97.2
103年 10月,宜蘭縣,43.43,0.0,48.4,1.86,0.3,8.62,51.72
103年 10月,新竹縣,45.86,0.0,54.2,2.69,0.32,10.65,71.3
103年 10月,苗栗縣,53.97,0.0,50.0,2.84,0.34,11.4,71.96
103年 10月,彰化縣,65.88,0.0,66.5,3.85,0.41,13.78,77.42
103年 10月,南投縣,83.53,0.0,76.7,2.71,0.45,15.49,98.16
103年 10月,雲林縣,93.85,0.0,78.8,3.72,0.4,12.61,86.75
103年 10月,嘉義縣,79.46,0.0,93.7,3.27,0.35,10.55,86.87
103年 10月,屏東縣,98.16,0.0,64.2,2.82,0.34,8.22,91.72
103年 10月,臺東縣,31.94,0.0,42.5,1.19,0.31,4.39,50.08
103年 10月,花蓮縣,120.62,0.0,39.3,1.75,0.3,7.77,55.8
103年 10月,澎湖縣,57.99,0.0,56.2,1.54,0.22,1.99,67.59
103年 10月,基隆市,59.42,0.0,38.2,1.8,0.31,7.69,58.72
103年 10月,新竹市,69.11,0.0,52.4,1.96,0.41,14.97,67.12
103年 10月,嘉義市,118.33,0.0,85.5,3.94,0.51,17.18,92.6
103年 10月,金門縣,93.73,0.0,81.9,5.25,0.35,9.27,80.2
103年 10月,連江縣,0.0,0.0,59.5,2.95,0.27,4.33,75.47
103年 11月,新北市,58.2,0.0,41.0,2.72,0.44,15.8,51.52
103年 11月,臺北市,35.79,0.0,39.7,2.66,0.52,20.79,48.23
103年 11月,桃園市,56.06,0.0,48.9,3.49,0.41,16.25,52.96
103年 11月,臺中市,61.58,0.0,63.2,2.79,0.5,18.44,66.43
103年 11月,臺南市,124.97,0.0,82.5,3.85,0.48,16.61,77.6
103年 11月,高雄市,107.72,0.0,83.8,5.18,0.54,20.6,86.29
103年 11月,宜蘭縣,57.93,0.0,36.0,1.85,0.31,8.45,46.73
103年 11月,新竹縣,55.58,0.0,45.0,2.66,0.34,11.76,56.27
103年 11月,苗栗縣,55.27,0.0,44.4,2.73,0.38,12.67,59.51
103年 11月,彰化縣,66.85,0.0,62.4,3.96,0.47,16.09,62.0
103年 11月,南投縣,89.96,0.0,83.2,2.83,0.52,18.29,82.67
103年 11月,雲林縣,99.0,0.0,80.2,3.66,0.46,15.95,70.33
103年 11月,嘉義縣,101.53,0.0,90.6,3.41,0.41,13.05,69.75
103年 11月,屏東縣,105.83,0.0,61.4,2.78,0.38,10.2,79.83
103年 11月,臺東縣,30.98,0.0,24.5,1.24,0.33,5.05,42.77
103年 11月,花蓮縣,46.47,0.0,24.6,1.74,0.33,8.44,48.52
103年 11月,澎湖縣,69.13,0.0,42.6,1.24,0.25,2.22,55.09
103年 11月,基隆市,39.21,0.0,27.4,1.87,0.59,13.19,50.33
103年 11月,新竹市,49.5,0.0,45.8,1.82,0.43,16.16,55.21
103年 11月,嘉義市,90.61,0.0,86.6,3.78,0.58,19.45,76.62
103年 11月,金門縣,148.02,0.0,80.5,6.12,0.44,11.92,63.81
103年 11月,連江縣,0.0,0.0,52.3,3.39,0.35,6.06,59.64
103年 12月,新北市,83.79,0.0,55.2,3.32,0.48,16.75,43.04
103年 12月,臺北市,63.75,0.0,55.4,3.27,0.59,22.72,40.04
103年 12月,桃園市,104.07,0.0,60.4,3.79,0.46,17.25,43.85
103年 12月,臺中市,68.43,0.0,54.8,2.92,0.51,18.47,45.55
103年 12月,臺南市,114.07,0.0,85.9,3.82,0.53,20.03,53.84
103年 12月,高雄市,128.47,0.0,96.6,5.36,0.63,25.56,58.04
103年 12月,宜蘭縣,30.74,0.0,49.8,2.43,0.38,10.28,44.76
103年 12月,新竹縣,82.52,0.0,52.6,2.87,0.39,12.62,46.39
103年 12月,苗栗縣,61.46,0.0,48.7,3.12,0.42,13.78,44.73
103年 12月,彰化縣,65.37,0.0,62.2,3.89,0.49,17.25,45.68
103年 12月,南投縣,79.17,0.0,76.3,2.81,0.58,20.68,50.67
103年 12月,雲林縣,76.59,0.0,80.8,3.88,0.49,18.52,48.32
103年 12月,嘉義縣,92.48,0.0,92.3,3.95,0.45,15.44,49.87
103年 12月,屏東縣,96.23,0.0,71.6,2.78,0.47,14.11,58.59
103年 12月,臺東縣,29.93,0.0,30.1,1.46,0.39,6.45,40.09
103年 12月,花蓮縣,48.8,0.0,35.7,2.04,0.43,11.84,41.57
103年 12月,澎湖縣,71.48,0.0,54.2,2.1,0.3,3.81,51.44
103年 12月,基隆市,60.47,0.0,40.8,2.74,0.48,12.83,46.81
103年 12月,新竹市,104.07,0.0,56.8,2.33,0.48,17.73,42.51
103年 12月,嘉義市,167.12,0.0,88.9,3.89,0.65,22.52,50.41
103年 12月,金門縣,128.96,0.0,98.8,7.49,0.48,14.35,52.19
103年 12月,連江縣,0.0,0.0,66.4,4.8,0.4,7.94,51.33
104年,新北市,46.77,0.0,40.1,3.21,0.45,15.85,53.45
104年,臺北市,38.37,0.0,40.0,3.06,0.54,20.41,52.4
104年,桃園市,54.88,0.0,45.1,3.65,0.4,15.36,51.75
104年,臺中市,51.29,0.0,46.5,2.9,0.43,15.41,57.99
104年,臺南市,64.55,0.0,55.9,3.06,0.38,12.71,60.68
104年,高雄市,63.22,0.0,59.6,4.38,0.41,15.71,61.75
104年,宜蘭縣,46.32,0.0,34.8,2.29,0.31,8.27,47.6
104年,新竹縣,58.87,0.0,41.0,2.7,0.33,10.94,55.26
104年,苗栗縣,48.34,0.0,44.1,2.71,0.35,11.72,55.72
104年,彰化縣,64.61,0.0,50.0,3.7,0.37,12.17,55.14
104年,南投縣,60.12,0.0,58.4,2.52,0.41,13.94,66.69
104年,雲林縣,61.3,0.0,54.6,3.17,0.36,12.52,56.87
104年,嘉義縣,44.57,0.0,63.7,2.94,0.34,10.32,57.3
104年,屏東縣,65.72,0.0,47.5,2.31,0.31,8.36,62.18
104年,臺東縣,39.43,0.0,23.9,1.35,0.34,5.49,39.31
104年,花蓮縣,32.82,0.0,28.5,1.78,0.31,7.84,43.76
104年,澎湖縣,43.76,0.0,33.0,2.04,0.24,3.96,48.49
104年,基隆市,45.27,0.0,30.3,2.52,0.36,10.83,53.48
104年,新竹市,63.47,0.0,38.7,2.63,0.43,15.21,52.08
104年,嘉義市,65.95,0.0,59.7,3.07,0.43,13.24,63.25
104年,金門縣,43.38,0.0,57.4,4.22,0.32,10.18,56.91
104年,連江縣,0.0,0.0,44.4,2.8,0.28,5.84,58.15
104年 1月,新北市,100.05,0.0,52.2,2.94,0.53,16.77,46.71
104年 1月,臺北市,46.69,0.0,54.1,2.88,0.62,22.72,43.33
104年 1月,桃園市,80.65,0.0,59.4,3.59,0.48,17.59,47.87
104年 1月,臺中市,51.08,0.0,62.6,2.91,0.53,19.49,55.12
104年 1月,臺南市,127.36,0.0,88.1,3.53,0.53,18.53,65.18
104年 1月,高雄市,132.13,0.0,94.5,4.95,0.6,24.49,68.59
104年 1月,宜蘭縣,52.49,0.0,49.9,2.5,0.38,10.13,48.16
104年 1月,新竹縣,98.28,0.0,52.4,3.02,0.43,13.84,51.4
104年 1月,苗栗縣,56.8,0.0,52.8,3.15,0.43,14.7,52.22
104年 1月,彰化縣,68.83,0.0,68.7,3.8,0.5,17.01,53.23
104年 1月,南投縣,83.41,0.0,83.5,2.9,0.56,20.06,67.78
104年 1月,雲林縣,107.35,0.0,79.5,3.82,0.5,18.2,58.79
104年 1月,嘉義縣,92.38,0.0,96.4,3.6,0.46,14.31,61.55
104年 1月,屏東縣,160.14,0.0,74.8,2.81,0.45,13.09,69.09
104年 1月,臺東縣,55.5,0.0,31.2,1.49,0.41,6.67,45.24
104年 1月,花蓮縣,80.86,0.0,39.8,1.99,0.42,11.03,46.74
104年 1月,澎湖縣,71.0,0.0,55.8,1.86,0.31,4.27,56.14
104年 1月,基隆市,38.13,0.0,38.3,2.22,0.46,11.27,50.19
104年 1月,新竹市,54.67,0.0,55.0,2.15,0.5,17.59,49.23
104年 1月,嘉義市,135.81,0.0,90.7,4.02,0.62,21.32,62.92
104年 1月,金門縣,189.68,0.0,112.0,7.6,0.53,18.69,56.99
104年 1月,連江縣,0.0,0.0,75.2,4.19,0.46,9.85,54.93
104年 2月,新北市,71.21,0.0,48.9,2.95,0.52,16.99,48.98
104年 2月,臺北市,43.73,0.0,52.3,2.76,0.61,22.46,46.35
104年 2月,桃園市,80.55,0.0,56.1,3.45,0.49,17.83,49.99
104年 2月,臺中市,56.5,0.0,60.8,2.74,0.52,18.19,57.7
104年 2月,臺南市,115.94,0.0,83.0,3.08,0.5,16.14,65.34
104年 2月,高雄市,87.0,0.0,89.4,4.38,0.58,21.3,72.64
104年 2月,宜蘭縣,54.03,0.0,43.3,2.17,0.37,8.68,50.7
104年 2月,新竹縣,43.5,0.0,52.8,2.63,0.43,13.98,52.87
104年 2月,苗栗縣,63.85,0.0,51.8,2.69,0.44,14.21,53.31
104年 2月,彰化縣,66.86,0.0,64.6,3.83,0.49,15.33,55.5
104年 2月,南投縣,103.62,0.0,83.6,2.48,0.55,17.94,66.88
104年 2月,雲林縣,65.32,0.0,79.3,3.55,0.48,16.29,57.58
104年 2月,嘉義縣,60.43,0.0,88.4,3.25,0.44,12.27,61.4
104年 2月,屏東縣,140.29,0.0,74.4,2.63,0.44,11.3,76.49
104年 2月,臺東縣,49.91,0.0,29.2,1.48,0.43,6.92,46.84
104年 2月,花蓮縣,26.99,0.0,36.8,1.78,0.41,10.1,49.72
