item1,item2,value1,value2,value3,value4,value5,value6,value7
100年,臺北市,58.88,0.0,45.4,3.04,0.58,23.28,49.7
100年,桃園市,60.11,0.0,48.7,4.65,0.42,17.8,51.13
100年,臺中市,80.49,0.0,55.6,3.3,0.47,17.58,59.6
100年,臺南市,90.81,0.0,69.8,3.95,0.39,14.18,62.73
100年,高雄市,93.26,0.0,73.8,6.38,0.46,18.13,65.0
100年,宜蘭縣,49.97,0.0,35.9,2.2,0.34,9.6,45.5
100年,新竹縣,63.53,0.0,44.5,2.8,0.32,12.65,55.35
100年,苗栗縣,59.21,0.0,46.7,3.0,0.35,13.1,56.3
100年,彰化縣,73.79,0.0,60.9,4.05,0.36,14.5,55.75
100年,南投縣,66.89,0.0,62.5,2.85,0.44,16.15,67.55
100年,雲林縣,84.8,0.0,63.8,3.15,0.35,13.6,61.8
100年,嘉義縣,83.24,0.0,67.6,3.3,0.33,11.3,60.6
100年,屏東縣,76.48,0.0,55.7,3.0,0.35,9.07,62.27
100年,臺東縣,63.85,0.0,30.7,1.8,0.35,6.3,40.0
100年,花蓮縣,49.26,0.0,31.4,2.0,0.4,10.1,40.8
100年,澎湖縣,50.91,0.0,0.0,0.0,0.0,0.0,0.0
100年,基隆市,60.2,0.0,31.7,2.6,0.38,12.2,52.1
100年,新竹市,41.92,0.0,47.9,3.4,0.42,16.4,52.1
100年,嘉義市,83.95,0.0,72.2,4.0,0.45,16.6,62.8
100年,金門縣,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100年,連江縣,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100年 1月,新北市,29.96,0.0,33.1,3.07,0.48,17.01,36.41
100年 1月,臺北市,50.13,0.0,35.1,2.76,0.58,23.74,32.58
100年 1月,桃園市,64.21,0.0,40.7,4.28,0.44,16.78,34.45
100年 1月,臺中市,63.14,0.0,40.3,3.1,0.48,17.14,36.02
100年 1月,臺南市,103.93,0.0,72.4,4.0,0.45,18.65,40.28
100年 1月,高雄市,107.13,0.0,86.4,8.03,0.59,26.61,49.34
100年 1月,宜蘭縣,46.48,0.0,27.2,2.3,0.41,10.65,36.65
100年 1月,新竹縣,57.43,0.0,33.7,2.75,0.38,12.15,37.65
100年 1月,苗栗縣,53.67,0.0,35.0,3.45,0.39,14.45,35.3
100年 1月,彰化縣,67.33,0.0,51.3,3.95,0.4,15.65,35.4
100年 1月,南投縣,45.95,0.0,55.4,3.2,0.58,21.6,43.25
100年 1月,雲林縣,60.96,0.0,54.2,3.3,0.39,16.85,40.6
100年 1月,嘉義縣,93.23,0.0,62.4,3.35,0.38,13.35,43.45
100年 1月,屏東縣,104.69,0.0,69.8,3.03,0.48,14.73,57.4
100年 1月,臺東縣,55.26,0.0,36.2,2.5,0.42,7.6,40.3
